# Dolgozók nevei és sebességeik km/h-ban különböző fázisokban
param sebesseg :
        hantolas feher piros lakk :=
    Gergo  2.0  0.3  0.4  0.5
    Medard 1.5  0.5  0.3  0.4
    Iza    1.6  0.4  0.4  0.6
    Kitti  0.5  0.2  0.3  0.3
    Balazs 1.3  0.6  0.5  0.4;

# Munkapontok és távolságaik (km)
param tavolsag :=
    1  1
    2  2
    3  0.5
    4  1
    5  1.5
    6  3
    7  4
    8  2
    9  1
    10 4;

# Munkafázisok sorrendje
set Fazis := hantolas feher piros lakk;

# Dolgozók nevei
set Dolgozo := Gergo Medard Iza Kitti Balazs;

# Fázisok sorrendjének megadása
param fazis_sorrend :=
    hantolas 1
    feher    2
    piros    3
    lakk     4;

# Munkaszünet időköz (percben)
param szunet := 15;

# Munkaidő egy szakaszban (percben)
param munkaido := 45;

# Munkatáv maximális távolság (km)
param max_tavolsag := 10;

# Teljes munkaidő (órákban)
param munkaido_ora := 8;

param szarad_feher := 10; # Fehér festék száradási idő percekben
param szarad_piros := 5;  # Piros festék száradási idő percekbendfwgu
